INDEX	COLUMN LABEL	DESCRIPTION	VARIABLE TYPE	CODING SPECIFICATION	MIN	MAX	ABIDE I INDEX	ABIDE I LABEL
165	VMI_EDITION	Beery-Buktenica Developmental Test of Visual-Motor Integration Edition	Numeric	1=VMI 5th edition; 2=VMI 6th edition	2	2	NA	NA
166	VMI_VMI_S	VMI Visual-Motor Integration Subtest Standard Score	Numeric		45	114	NA	NA
167	CELF_EDITION	Clinical Evaluation of Language Fundamentals Edition	Numeric	1=CELF 3; 2=CELF 4	2	2	NA	NA
168	CELF_5-8_CORE_S	CELF Ages 5-8 Core Language Standard Score	Numeric		42	118	NA	NA
169	CELF_5-8_RECEPTIVE_S	CELF Ages 5-8  Receptive Language Standard Score	Numeric		42	113	NA	NA
170	CELF_5-8_EXPRESSIVE_S	CELF Ages 5-8 Expressive Language Standard Score	Numeric		29	118	NA	NA
171	CELF_9-21_CORE_S	CELF Ages 9-21 Core Language Standard Score	Numeric		56	127	NA	NA
172	CELF_9-21_RECEPTIVE_S	CELF Ages 9-21 Receptive Language Standard Score	Numeric		60	131	NA	NA
173	CELF_9-21_EXPRESSIVE_S	CELF Ages 9-21 Expressive Language Standard Score	Numeric		55	130	NA	NA
174	BASC2_PRS_VERSION	Behavior Assessment System for Children Second Edition Parent Rating Scales Version	Numeric	1=child (6 to 11 years); 2=adolescent (12 to 21 years)	2	2	NA	NA
175	BASC2_PRS_ANGER_T	BASC-2 Anger Control T Score	Numeric		41	64	NA	NA
176	BASC2_PRS_HYPERACTIVITY_T	BASC-2 Hyperactivity T Score	Numeric		36	74	NA	NA
177	BASC2_PRS_AGGRESSION_T	BASC-2 Aggression T Score	Numeric		37	73	NA	NA
178	BASC2_PRS_CONDUCT_T	BASC-2 Conduct Problems T Score	Numeric		39	67	NA	NA
179	BASC2_PRS_EXTERNAL_T	BASC-2 Externalizing Problems T Score	Numeric		34	85	NA	NA
180	BASC2_PRS_EXTERNAL_MEAN_T	BASC-2 Externalizing Problems Mean T Score	Numeric		27	43	NA	NA
181	BASC2_PRS_ANXIETY_T	BASC-2 Anxiety T Score	Numeric		31	66	NA	NA
182	BASC2_PRS_DEPRESSION_T	BASC-2 Depression T Score	Numeric		38	88	NA	NA
183	BASC2_PRS_SOMATIZATION_T	BASC-2 Somatization T Score	Numeric		38	89	NA	NA
184	BASC2_PRS_INTERNAL_T	BASC-2 Internalizing Problems T Score	Numeric		30	94	NA	NA
185	BASC2_PRS_INTERNAL_MEAN_T	BASC-2 Internalizing Problems Mean T Score	Numeric		35	55.889	NA	NA
186	BASC2_PRS_ATYPICALITY_T	BASC-2 Atypicality T Score	Numeric		41	86	NA	NA
187	BASC2_PRS_WITHDRAWAL_T	BASC-2 Withdrawal T Score	Numeric		36	93	NA	NA
188	BASC2_PRS_ATTENTION_T	BASC-2 Attention Problems T Score	Numeric		35	69	NA	NA
189	BASC2_PRS_BSI_T	BASC-2 Behavioral Systems Index T Score	Numeric		33	104	NA	NA
190	BASC2_PRS_BSI_MEAN_T	BASC-2 Behavioral Systems Index Mean T Score	Numeric		37.333	70.63	NA	NA
191	BASC2_PRS_ADAPTABILITY_T	BASC-2 Adaptability T Score	Numeric		22	65	NA	NA
192	BASC2_PRS_SOCIAL_T	BASC-2 Social Skills T Score	Numeric		22	70	NA	NA
193	BASC2_PRS_LEADERSHIP_T	BASC-2 Leadership T Score	Numeric		28	66	NA	NA
194	BASC2_PRS_ACTIVITIES_T	BASC-2 Activities of Daily Living T Score	Numeric		17	70	NA	NA
195	BASC2_PRS_FUNCTIONAL_T	BASC-2 Functional Communication T Score	Numeric		18	66	NA	NA
196	BASC2_PRS_ADAPTIVE_T	BASC-2 Adaptive Skills T Score	Numeric		17	71	NA	NA
197	BASC2_PRS_ADAPTIVE_MEAN_T	BASC-2 Adaptive Skills Mean T Score	Numeric		43.6	58	NA	NA
198	BASC2_PRS_BULLY_T	BASC-2 Bullying T Score	Numeric		39	65	NA	NA
199	BASC2_PRS_DSD_T	BASC-2 Developmental Social Disorders T Score	Numeric		34	81	NA	NA
200	BASC2_PRS_EMOTIONAL_T	BASC-2 Emotional Self Control T Score	Numeric		38	73	NA	NA
201	BASC2_PRS_EXECUTIVE_T	BASC-2 Executive Functioning T Score	Numeric		34	73	NA	NA
202	BASC2_PRS_NEGATIVE_T	BASC-2 Negative Emotionality T Score	Numeric		33	74	NA	NA
203	BASC2_PRS_RESILIENCY_T	BASC-2 Resiliency T Score	Numeric		21	65	NA	NA
204	CPRS_OPP	Conners Parent Rating Scales Oppositional T Score	Numeric		38	90	NA	NA
205	CPRS_COG-INATT	CPRS Cognitive Problems/Inattention T Score	Numeric		40	90	NA	NA
206	CPRS_HYPERACT	CPRS Hyperactivity T Score	Numeric		39	90	NA	NA
207	CPRS_ANX_SHY	CPRS Anxious Shy T Score	Numeric		38	90	NA	NA
208	CPRS_PERFECT	CPRS Perfectioniam T Score	Numeric		39	90	NA	NA
209	CPRS_SOCIAL_PROB	CPRS Social Problems T Score	Numeric		45	90	NA	NA
210	CPRS_PSYCHO_SOMATIC	CPRS Psychosomatic T Score	Numeric		42	90	NA	NA
211	CPRS_CONN_ADHD	CPRS Conners ADHD Index T Score	Numeric		39	90	NA	NA
212	CPRS_REST_IMPULS	CPRS Conners Global Index: Restless-Impulsive T Score	Numeric		38	90	NA	NA
213	CPRS_EMOT_LABILITY	CPRS Conners Global Index: Emotional Lability T Score	Numeric		39	85	NA	NA
214	CPRS_CONN_GI_TOTAL	CPRS Conners Global Index Total T Score	Numeric		38	90	NA	NA
215	CPRS_DSM_IV_INATT	CPRS DSM-IV: Inattentive T Score	Numeric		40	90	NA	NA
216	CPRS_DSM_IV_HYPER_IMPUL	CPRS DSM-IV: Hyperactive-Impulsive T Score	Numeric		39	90	NA	NA
217	CPRS_DSM_IV_TOTAL	CPRS DSM-IV: Total T Score	Numeric		39	90	NA	NA
218	CPRS_INATT_SYMPTOMS	CPRS Inattentive Symptoms	Numeric		0	9	NA	NA
219	CPRS_HYPER_IMPUL_SYMPTOMS	CPRS Hyperactive-Impulsive Symptoms	Numeric		0	9	NA	NA
220	CASI_ADHD-I_CUTOFF	Child and Adolescent Symptom Inventory-4R ADHD Inattentive Type: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
221	CASI_ADHD-H_CUTOFF	CASI-4R ADHD Hyperactive-Impulsive Type: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
222	CASI_ADHD-C_CUTOFF	CASI-4R ADHD Combined Type: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
223	CASI_ODD_CUTOFF	CASI-4R Oppositional Defiant Disorder: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
224	CASI_CD_CUTOFF	CASI-4R Conduct Disorder: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
225	CASI_GAD_CUTOFF	CASI-4R Generalized Anxiety Disorder: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
226	CASI_SPECIFIC_PHOBIA_CUTOFF	CASI-4R Specific Phobia: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
227	CASI_OBSESSIONS_CUTOFF	CASI-4R Obsessions: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
228	CASI_COMPULSIONS_CUTOFF	CASI-4R Compulsions: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
229	CASI_PTSD_CUTOFF	CASI-4R Posttraumatic Stress Disorder: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
230	CASI_MOTOR_TICS_CUTOFF	CASI-4R Motor Tics: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
231	CASI_VOCAL_TICS_CUTOFF	CASI-4R Specific Phobia: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
232	CASI_SOCIAL_PHOBIA_CUTOFF	CASI-4R Social Phobia: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
233	CASI_SEPARATION_CUTOFF	CASI-4R Separation Anxiety disorder: Meet Cutoff?	Numeric	0=No; 1=Yes	0	0	NA	NA
234	CASI_SCHIZOPHRENIA_CUTOFF	CASI-4R Schizophrenia: Meet Cutoff?	Numeric	0=No; 1=Yes	0	0	NA	NA
235	CASI_NOCTURNAL_ENURESIS_CUTOFF	CASI-4R Nocturnal Enuresis: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
236	CASI_ENURESIS_ENCOPRESIS_CUTOFF	CASI-4R Enuresis Encopresis: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
237	CASI_MDE_CUTOFF	CASI-4R Major Depressive Episode: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
238	CASI_DYSTHYMIC_CUTOFF	CASI-4R Dysthmic Disorder: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
239	CASI_AUTISTIC_CUTOFF	CASI-4R Autistic Disorder: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
240	CASI_ASPERGER_CUTOFF	CASI-4R Aspergers Disorder: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
241	CASI_ASPD_CUTOFF	CASI-4R Antisocial Personality Disorder: Meet Cutoff?	Numeric	0=No; 1=Yes	0	0	NA	NA
242	CASI_PANIC_ATTACKS_CUTOFF	CASI-4R Panic Attacks: Meet Cutoff?	Numeric	0=No; 1=Yes	0	0	NA	NA
243	CASI_SOMATIZATION_CUTOFF	CASI-4R Somatization Disorder: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
244	CASI_SCHIZOID_PERSONALITY_CUTOFF	CASI-4R Schizoid Personality: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
245	CASI_MANIC_EPISODE_CUTOFF	CASI-4R Manic Episode (bipolar disorder): Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
246	CASI_ANOREXIA_NERVOSA_CUTOFF	CASI-4R Anorexia Nervosa: Meet Cutoff?	Numeric	0=No; 1=Yes	0	0	NA	NA
247	CASI_BULIMIA_NERVOSA_CUTOFF	CASI-4R Builimia Nervosa: Meet Cutoff?	Numeric	0=No; 1=Yes	0	0	NA	NA
248	CASI_SUBSTANCE_USE_CUTOFF	CASI-4R Substance Abuse: Meet Cutoff?	Numeric	0=No; 1=Yes	0	0	NA	NA
249	CSI_ADHD-I_SEVERITY	Child Symptom Inventory-4 ADHD Inattentive Type: Symptom Severity Score	Numeric		0	26	NA	NA
250	CSI_ADHD-I_CUTOFF	CSI-4 ADHD Inattentive Type: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
251	CSI_ADHD-H_SEVERITY	CSI-4 ADHD Hyperactive-Impulsive Type: Symptom Severity Score	Numeric		0	9	NA	NA
252	CSI_ADHD-H_CUTOFF	CSI-4 ADHD Hyperactive-Impulsive Type: Meet Cutoff?	Numeric	0=No; 1=Yes	0	0	NA	NA
253	CSI_ADHD-C_SEVERITY	CSI-4 ADHD Combined Type: Symptom Severity Score	Numeric		0	34	NA	NA
254	CSI_ADHD-C_CUTOFF	CSI-4 ADHD Combined Type: Meet Cutoff?	Numeric	0=No; 1=Yes	0	0	NA	NA
255	CSI_ODD_SEVERITY	CSI-4 Oppositional Defiant Disorder: Symptom Severity Score	Numeric		0	14	NA	NA
256	CSI_ODD_ CUTOFF	CSI-4 Oppositional Defiant Disorder: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
257	CSI_CD_SEVERITY	CSI-4 Conduct Disorder: Symptom Severity Score	Numeric		0	1	NA	NA
258	CSI_CD_CUTOFF	CSI-4 Conduct Disorder: Meet Cutoff?	Numeric	0=No; 1=Yes	0	0	NA	NA
259	CSI_GAD_SEVERITY	CSI-4 Generalized Anxiety Disorder: Symptom Severity Score	Numeric		0	16	NA	NA
260	CSI_GAD_CUTOFF	CSI-4 Generalized Anxiety Disorder: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
261	CSI_SPECIFIC_PHOBIA_SEVERITY	CSI-4 Social Phobia: Symptom Severity Score	Numeric		0	3	NA	NA
262	CSI_SPECIFIC_PHOBIA_CUTOFF	CSI-4 Social Phobia: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
263	CSI_OBSESSIONS_SEVERITY	CSI-4 Obsessions: Symptom Severity Score	Numeric		0	3	NA	NA
264	CSI_OBSESSIONS_CUTOFF	CSI-4 Obsessions: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
265	CSI_COMPULSIONS_SEVERITY	CSI-4 Compulsions: Symptom Severity Score	Numeric		0	2	NA	NA
266	CSI_COMPULSIONS_CUTOFF	CSI-4 Compulsions: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
267	CSI_DISTURBING_EVENTS_SEVERITY	CSI-4 Disturbing Events: Symptom Severity Score	Numeric		0	3	NA	NA
268	CSI_DISTURBING_EVENTS_CUTOFF	CSI-4 Disturbing Events: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
269	CSI_MOTOR_TICS_SEVERITY	CSI-4 Motor Tics: Symptom Severity Score	Numeric		0	3	NA	NA
270	CSI_MOTOR_TICS_CUTOFF	CSI-4 Motor Tics: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
271	CSI_VOCAL_TICS_SEVERITY	CSI-4 Vocal Tics: Symptom Severity Score	Numeric		0	1	NA	NA
272	CSI_VOCAL_TICS_CUTOFF	CSI-4 Vocal Tics: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
273	CSI_SCHIZOPHRENIA_SEVERITY	CSI-4 Schizophrenia: Symptom Severity Score	Numeric		0	6	NA	NA
274	CSI_SCHIZOPHRENIA_CUTOFF	CSI-4 Schizophrenia: Meet Cutoff?	Numeric	0=No; 1=Yes	0	0	NA	NA
275	CSI_MDD_SEVERITY	CSI-4 Major Depressive Disorder: Symptom Severity Score	Numeric		1	9	NA	NA
276	CSI_MDD_CUTOFF	CSI-4 Major Depressive Disorder: Meet Cutoff?	Numeric	0=No; 1=Yes	0	0	NA	NA
277	CSI_DYSTHYMIC_SEVERITY	CSI-4 Dysthmic Disorder: Symptom Severity Score	Numeric		1.5	10.5	NA	NA
278	CSI_DYSTHYMIC_CUTOFF	CSI-4 Dysthmic Disorder: Meet Cutoff?	Numeric	0=No; 1=Yes	0	0	NA	NA
279	CSI_AUTISTIC_SEVERITY	CSI-4 Autistic Disorder: Symptom Severity Score	Numeric		0	25	NA	NA
280	CSI_AUTISTIC_CUTOFF	CSI-4 Autistic Disorder: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
281	CSI_ASPERGER_SEVERITY	CSI-4 Aspergers Disorder: Symptom Severity Score	Numeric		0	19	NA	NA
282	CSI_ASPERGER_CUTOFF	CSI-4 Aspergers Disorder: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
283	CSI_SOCIAL_PHOBIA_SEVERITY	CSI-4 Social Phobia: Symptom Severity Score	Numeric		0	9	NA	NA
284	CSI_SOCIAL_PHOBIA_CUTOFF	CSI-4 Social Phobia: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
285	CSI_SEPARATION_SEVERITY	CSI-4 Separation Anxiety Disorder: Symptom Severity Score	Numeric		0	1	NA	NA
286	CSI_SEPARATION_CUTOFF	CSI-4 Separation Anxiety Disorder: Meet Cutoff?	Numeric	0=No; 1=Yes	0	0	NA	NA
287	CSI_ENURESIS_SEVERITY	CSI-4 Enuresis: Symptom Severity Score	Numeric		0	1	NA	NA
288	CSI_ENURESIS_CUTOFF	CSI-4 Enuresis: Meet Cutoff?	Numeric	0=No; 1=Yes	0	1	NA	NA
289	CSI_ENCOPRESIS_SEVERITY	CSI-4 Encopresis: Symptom Severity Score	Numeric		0	0	NA	NA
290	CSI_ENCOPRESIS_CUTOFF	CSI-4 Encopresis: Meet Cutoff?	Numeric	0=No; 1=Yes	0	0	NA	NA
291	ADI_R_A1_DIRECT_GAZE	Autism Diagnostic Interview-Revised Algorithm A1 50.Direct Gaze Score	Numeric		0	2	NA	NA
292	ADI_R_A1_SOCIAL_SMILE	ADI-R Algorithm A1 51.Social Smiling Score	Numeric		0	2	NA	NA
293	ADI_R_A1_FACIAL_EXPRESSIONS	ADI-R Algorithm A1 57.Range of Facial Expressions Used to Communicate Score	Numeric		0	2	NA	NA
294	ADI_R_A1_TOTAL	ADI-R Algorithm A1 Total Score	Numeric		0	6	NA	NA
295	ADI_R_A2_IMAGINATIVE_PLAY	ADI-R Algorithm A2 49.Imaginative Play with Peers Score	Numeric		0	2	NA	NA
296	ADI_R_A2_INTEREST_IN_CHILDREN	ADI-R Algorithm A2 62.Interest in Children Score	Numeric		0	2	NA	NA
297	ADI_R_A2_RESPONSE_TO_APPROACHES	ADI-R Algorithm A2 63. Response to Approaches of Other Children Score	Numeric		0	2	NA	NA
298	ADI_R_A2_GROUP_PLAY	ADI-R Algorithm A2 64. Group Play with Peers Score	Numeric		1	9	NA	NA
299	ADI_R_A2_HIGHER	ADI-R Algorithm A2 64 or 65	Numeric		0	2	NA	NA
300	ADI_R_A2_FRIENDSHIPS	ADI-R Algorithm A2 65. Friendships Score	Numeric		0	9	NA	NA
301	ADI_R_A2_TOTAL	ADI-R Algorithm A2 Total Score	Numeric		2	8	NA	NA
302	ADI_R_A3_SHOWING_DIRECTING_ATTENTION	ADI-R Algorithm A3 52. Group Play with Peers Score	Numeric		0	2	NA	NA
303	ADI_R_A3_OFFERING_TO_SHARE	ADI-R Algorithm A3 53. Group Play with Peers Score	Numeric		0	2	NA	NA
304	ADI_R_A3_SEEKING_SHARE_ENJOYMENT	ADI-R Algorithm A3 54. Group Play with Peers Score	Numeric		0	2	NA	NA
305	ADI_R_A3_Total	ADI-R Algorithm A3 Total Score	Numeric		0	6	NA	NA
306	ADI_R_A4_USE_OTHERS_BODY	ADI-R Algorithm A4 31. Use of Other's Body to Communicate Score	Numeric		0	2	NA	NA
307	ADI_R_A4_OFFERING_COMFORT	ADI-R Algorithm A4 55. Use of Other's Body to Communicate Score	Numeric		0	2	NA	NA
308	ADI_R_A4_QUALITY_SOCIAL_OVERTURES	ADI-R Algorithm A4 56. Quality of Social Overtures Score	Numeric		0	2	NA	NA
309	ADI_R_A4_INAPPROPRIATE_FACIAL_EXPRESSIONS	ADI-R Algorithm A4 58. Inappropriate Facial Expressions Score	Numeric		0	2	NA	NA
310	ADI_R_A4_APPROPRIATE_SOCIAL_RESPONSES	ADI-R Algorithm A4 59. Appropriateness of Social Responses Score	Numeric		0	2	NA	NA
311	ADI_R_A4_Total	ADI-R Algorithm A4 Total Score	Numeric		2	10	NA	NA
312	ADI_R_B1_POINTING_EXPRESS_INTEREST	ADI-R Algorithm B1 42. Pointing to Express Interest Score	Numeric		0	2	NA	NA
313	ADI_R_B1_NODDING	ADI-R Algorithm B1 43. Nodding Score	Numeric		0	2	NA	NA
314	ADI_R_B1_HEAD_SHAKING	ADI-R Algorithm B1 44. Head Shaking Score	Numeric		0	2	NA	NA
315	ADI_R_B1_CONVENTIONAL_GESTURES	ADI-R Algorithm B1 45. Conventional/Instrumental Gestures Score	Numeric		0	2	NA	NA
316	ADI_R_B1_TOTAL	ADI-R Algorithm B1 Total Score	Numeric		0	8	NA	NA
317	ADI_R_B4_SPONTANEOUS_IMITATION	ADI-R Algorithm B4 47. Spontaneous Imitation of Actions Score	Numeric		0	2	NA	NA
318	ADI_R_B4_IMAGINATIVE_PLAY	ADI-R Algorithm B4 48. Imaginative Play Score	Numeric		0	2	NA	NA
319	ADI_R_B4_IMITATIVE_SOCIAL_PLAY	ADI-R Algorithm B4 61. Imitative Social Play Score	Numeric		0	2	NA	NA
320	ADI_R_B4_TOTAL	ADI-R Algorithm B4 Total Score	Numeric		1	6	NA	NA
321	ADI_R_B2_SOCIAL_VERBALIZATION	ADI-R Algorithm B2 34. Social Verbalization/Chat Score	Numeric		0	2	NA	NA
322	ADI_R_B2_RECIPROCAL_CONVERSATION	ADI-R Algorithm B2 35. Reciprocal Conversation Score	Numeric		0	2	NA	NA
323	ADI_R_B2_TOTAL	ADI-R Algorithm B2 Total Score	Numeric		1	4	NA	NA
324	ADI_R_B3_STEREOTYPED_UTTERANCES	ADI-R Algorithm B3 35. Reciprocal Conversation Score	Numeric		0	2	NA	NA
325	ADI_R_B3_INAPPROPRIATE_QUESTIONS	ADI-R Algorithm B3 36. Inappropriate Questions or Statements Score	Numeric		0	2	NA	NA
326	ADI_R_B3_PRONOMINAL_REVERSAL	ADI-R Algorithm B3 37. Prominal Reversal Score	Numeric		0	2	NA	NA
327	ADI_R_B3_NEOLOGISMS	ADI-R Algorithm B3 38. Neologisms/Idiosyncratic Language Score	Numeric		0	2	NA	NA
328	ADI_R_B3_Total	ADI-R Algorithm B3 Total Score	Numeric		0	6	NA	NA
329	ADI_R_C1_UNUSUAL_PREOCCUPATIONS	ADI-R Algorithm C1 67. Unusual Preoccupations Score	Numeric		0	2	NA	NA
330	ADI_R_C1_CIRCUMSCRIBED_INTERESTS	ADI-R Algorithm C1 68. Circumscribed Interests Score	Numeric		0	2	NA	NA
331	ADI_R_C1_TOTAL	ADI-R Algorithm C1 Total Score	Numeric		0	4	NA	NA
332	ADI_R_C2_VERBAL_RITUALS	ADI-R Algorithm C2 39. Verbal Rituals Score	Numeric		0	2	NA	NA
333	ADI_R_C2_COMPULSIONS	ADI-R Algorithm C2 70. Compulsions/Rituals Score	Numeric		0	2	NA	NA
334	ADI_R_C2_TOTAL	ADI-R Algorithm C2 Total Score	Numeric		0	4	NA	NA
335	ADI_R_C3_HAND_FINGER_MANNERISMS	ADI-R Algorithm C3 77. Hand and Finger Mannerisms Score	Numeric		0	2	NA	NA
336	ADI_R_C3_HIGHER	ADI-R Algorithm C3 Higher of 77 or 78	Numeric		0	2	NA	NA
337	ADI_R_C3_OTHER_COMPLEX_MANNERISMS	ADI-R Algorithm C3 78. Other Complex Mannerisms or Stereotyped Body Movements Score	Numeric		0	2	NA	NA
338	ADI_R_C3_TOTAL	ADI-R Algorithm C3 Total Score	Numeric		0	2	NA	NA
339	ADI_R_C4_REPETITIVE_USE_OBJECTS	ADI-R Algorithm C4 69. Repetitive Use of Objects or Interest in Parts of Objects Score	Numeric		0	3	NA	NA
340	ADI_R_C4_HIGHER	ADI-R Algorithm C4 Higher of 69 or 71	Numeric		0	2	NA	NA
341	ADI_R_C4_UNUSUAL_SENSORY_INTERESTS	ADI-R Algorithm C4 71. Unusual Sensory Interests Score	Numeric		0	2	NA	NA
342	ADI_R_C4_TOTAL	ADI-R Algorithm C4 Total Score	Numeric		0	12	NA	NA
343	ADI_R_D_AGE_PARENT_NOTICED	ADI-R Algorithm D 2. Age Parents First Noticed Score	Numeric		0	1	NA	NA
344	ADI_R_D_AGE_FIRST_SINGLE_WORDS	ADI-R Algorithm D 9. Age of First Single Words Score	Numeric		0	1	NA	NA
345	ADI_R_D_AGE_FIRST_PHRASES	ADI-R Algorithm D 10. Age of First Phrases Score	Numeric		0	1	NA	NA
346	ADI_R_D_AGE_WHEN_ABNORMALITY	ADI-R Algorithm D 86. Age When Abnormality First Evident Score	Numeric		0	1	NA	NA
347	ADI_R_D_INTERVIEWER_JUDGMENT	ADI-R Algorithm D 87. Interviewer's Judgment on Age When Abnormalities First Manifest Score	Numeric		0	1	NA	NA
